Nombre del Producto,Categoría,Precio Unitario,Stock Disponible,Proveedor
Producto 1,Esferos,10.00,287,Proveedor 39
Producto 2,Papel,10.00,140,Proveedor 50
Producto 3,Papel,$10,284,Proveedor 35
Producto 4,Toners,30,336,Proveedor 2
Producto 5,Material de Oficina,$10,88,Proveedor 2
Producto 6,Material de Oficina,"10,00",223,Proveedor 45
Producto 7,Toners,15.5,261,Proveedor 41
Producto 8,Carpetas,"10,00",352,Proveedor 30
Producto 9,Esferos,30,460,Proveedor 34
Producto 10,Papel,30,488,Proveedor 21
Producto 11,Carpetas,$10,447,Proveedor 19
Producto 12,Papel,10.00,474,Proveedor 8
Producto 13,Carpetas,,102,Proveedor 1
Producto 14,Toners,10.00,299,Proveedor 21
Producto 15,Toners,,472,Proveedor 12
Producto 16,Material de Oficina,"10,00",23,Proveedor 39
Producto 17,Esferos,30,231,Proveedor 15
Producto 18,Carpetas,$10,421,Proveedor 28
Producto 19,Toners,10.00,104,Proveedor 33
Producto 20,Papel,30,106,Proveedor 14
Producto 21,Papel,15.5,131,Proveedor 50
Producto 22,Material de Oficina,10.00,214,Proveedor 36
Producto 23,Toners,$10,307,Proveedor 3
Producto 24,Material de Oficina,"10,00",416,Proveedor 31
Producto 25,Esferos,15.5,346,Proveedor 27
Producto 26,Carpetas,15.5,99,Proveedor 44
Producto 27,Papel,,399,Proveedor 13
Producto 28,Toners,,43,Proveedor 27
Producto 29,Esferos,"10,00",293,Proveedor 42
Producto 30,Papel,"10,00",264,Proveedor 25
Producto 31,Material de Oficina,30,251,Proveedor 18
Producto 32,Toners,15.5,110,Proveedor 4
Producto 33,Toners,30,154,Proveedor 34
Producto 34,Papel,"10,00",199,Proveedor 45
Producto 35,Esferos,$10,214,Proveedor 4
Producto 36,Papel,30,278,Proveedor 41
Producto 37,Papel,$10,344,Proveedor 9
Producto 38,Papel,30,309,Proveedor 3
Producto 39,Papel,15.5,128,Proveedor 13
Producto 40,Carpetas,,289,Proveedor 15
Producto 41,Papel,10.00,351,Proveedor 44
Producto 42,Esferos,30,257,Proveedor 38
Producto 43,Toners,$10,307,Proveedor 39
Producto 44,Esferos,30,175,Proveedor 8
Producto 45,Toners,15.5,-4,Proveedor 26
Producto 46,Esferos,30,398,Proveedor 36
Producto 47,Papel,10.00,26,Proveedor 48
Producto 48,Carpetas,30,123,Proveedor 47
Producto 49,Carpetas,10.00,258,Proveedor 48
Producto 50,Esferos,10.00,-4,Proveedor 23
Producto 51,Material de Oficina,,360,Proveedor 41
Producto 52,Papel,10.00,11,Proveedor 6
Producto 53,Material de Oficina,10.00,314,Proveedor 42
Producto 54,Papel,10.00,438,Proveedor 40
Producto 55,Papel,"10,00",138,Proveedor 12
Producto 56,Papel,10.00,249,Proveedor 36
Producto 57,Toners,30,452,Proveedor 9
Producto 58,Papel,10.00,219,Proveedor 2
Producto 59,Papel,15.5,125,Proveedor 38
Producto 60,Carpetas,15.5,10,Proveedor 40
Producto 61,Esferos,"10,00",225,Proveedor 1
Producto 62,Carpetas,,332,Proveedor 15
Producto 63,Esferos,,74,Proveedor 17
Producto 64,Papel,15.5,484,Proveedor 18
Producto 65,Esferos,10.00,361,Proveedor 25
Producto 66,Toners,30,424,Proveedor 10
Producto 67,Material de Oficina,10.00,397,Proveedor 49
Producto 68,Papel,,323,Proveedor 41
Producto 69,Carpetas,30,40,Proveedor 20
Producto 70,Toners,"10,00",307,Proveedor 47
Producto 71,Material de Oficina,30,197,Proveedor 8
Producto 72,Carpetas,10.00,65,Proveedor 25
Producto 73,Papel,30,295,Proveedor 36
Producto 74,Carpetas,30,-1,Proveedor 13
Producto 75,Material de Oficina,$10,492,Proveedor 9
Producto 76,Material de Oficina,30,125,Proveedor 8
Producto 77,Toners,30,329,Proveedor 38
Producto 78,Esferos,15.5,91,Proveedor 50
Producto 79,Carpetas,$10,359,Proveedor 8
Producto 80,Carpetas,30,283,Proveedor 16
Producto 81,Esferos,30,475,Proveedor 9
Producto 82,Papel,$10,11,Proveedor 40
Producto 83,Toners,$10,-7,Proveedor 34
Producto 84,Esferos,,113,Proveedor 31
Producto 85,Papel,15.5,80,Proveedor 37
Producto 86,Toners,10.00,449,Proveedor 29
Producto 87,Material de Oficina,30,389,Proveedor 10
Producto 88,Toners,10.00,109,Proveedor 13
Producto 89,Papel,$10,428,Proveedor 21
Producto 90,Esferos,"10,00",412,Proveedor 17
Producto 91,Toners,,-3,Proveedor 29
Producto 92,Toners,15.5,433,Proveedor 13
Producto 93,Esferos,30,203,Proveedor 25
Producto 94,Esferos,$10,172,Proveedor 15
Producto 95,Material de Oficina,,332,Proveedor 37
Producto 96,Toners,,-4,Proveedor 33
Producto 97,Esferos,$10,77,Proveedor 49
Producto 98,Esferos,10.00,418,Proveedor 33
Producto 99,Carpetas,30,337,Proveedor 28
Producto 100,Papel,"10,00",284,Proveedor 4
Producto 101,Material de Oficina,$10,334,Proveedor 44
Producto 102,Esferos,,189,Proveedor 33
Producto 103,Toners,15.5,124,Proveedor 36
Producto 104,Papel,"10,00",153,Proveedor 16
Producto 105,Toners,,370,Proveedor 43
